MYSQL Assignment No : 09
Name : Gaurav Gaikwad
PRN : 230943120029



mysql> select s.id, s.namefirst, sa.address from student s join
    -> student_address sa on s.id = sa.id;
+----+-----------+-------------------------------------------------------------------+
| id | namefirst | address                                                           |
+----+-----------+-------------------------------------------------------------------+
|  1 | saleel    | 13758 Dogwood, St, Trona, CA, Los Angeles, 93562                  |
|  2 | omkar     | 2263 Ga 17 Hwy N, Millen, GA, Atlanta, 30442                      |
|  3 | ulka      | 409 Berry St, Louisa, KY, San Jose, 41230                         |
|  4 | rahul     | 7720 Covington Rd, Pink Stand, TN, San Francisco, 37188           |
|  5 | ruhan     | 15 Hempstead, St, Saugus, MA, Las Vega, 1906                      |
|  6 | lala      | 165 Village Dr., P.O. Box 3700, Oakland, TN, Oakland, 38060       |
|  7 | sharmin   | Po Box 83, Faith, NC, New Jersey, 28041                           |
|  8 | vrushali  | 3402 Buccaneer Rose Ave, Bakersfield, CA, Boston, 93313           |
|  9 | vasant    | Po Box 77, Linking Road, UK                                       |
| 10 | nitish    | 7710 Covington Rd , New State Road, New York, 37188               |
| 11 | neel      | 15 Hempstead St, Saugus, MA, Boston, 1906                         |
| 12 | deep      | 165 Ken city, P.O. Box 942873, 50 Higuera Street, Oakland, 38060  |
| 13 | nrupali   | Po Box 83, Faith, NC, null, New York, 28041                       |
| 14 | supriya   | 808 Rocky Hill Rd, Plymouth 1993 Cross lane, Boston, 32360        |
| 15 | bandish   | 118 Lippitt Ave Warwick, 100 S. Main Street, Los Angeles, 12889   |
| 16 | sangita   | 5973 Moon Shadow Dr. Herriman, null, Atlanta, 2345                |
| 17 | sangita   | 13758 Dogwood St, Trona, null, San Jose, 93562                    |
| 18 | rahul     | 2263 Ga 17 Hwy N, Millen, null, Las Vega, 30442                   |
| 19 | bhavin    | 321/vimal park, karve road, pune, 411038                          |
| 20 | kaushal   | Prashant Society, Kothrud, pune, 411038                           |
| 21 | pankaj    | 8 vaibhav, Ishadan soc, paud road, Pune                           |
| 22 | rajan     | 9 vaibhav, Ishadan soc, paud road, Pune                           |
| 23 | bhavin    | 10  vaibhav, Ishadan soc, paud road,  Pune                         |
| 24 | mukesh    | 4 vaibhav, Ishadan soc, paud road, Pune                           |
| 25 | dilu      | 7 vaibhav, Ishadan soc, paud road, Pune                           |
| 26 | sonam     | 19 Hempstead St, go streat, MG, Boston, 19077                     |
| 27 | rohit     | 1699 Ken city, P.O. Box 942873, 50 Higuera Street, Oakland, 38060 |
| 28 | raj       | Po Box 87, Faith, NC, New York, 28045                             |
+----+-----------+-------------------------------------------------------------------+
28 rows in set (0.00 sec)




mysql> select namefirst, namelast, emailID, name, college FROM student join student_qualifications ON student.id = student_qualifications.studentID;
+-----------+----------+--------------------------+--------+---------------+
| namefirst | namelast | emailID                  | name   | college       |
+-----------+----------+--------------------------+--------+---------------+
| saleel    | bagde    | saleel.bagde@gmail.com   | 10     | Alabama       |
| saleel    | bagde    | saleel.bagde@gmail.com   | 12     | Alaska        |
| saleel    | bagde    | saleel.bagde@gmail.com   | BE     | Arizona       |
| omkar     | rokde    | omkar.rakde@gmail.com    | 10     | Alaska        |
| omkar     | rokde    | omkar.rakde@gmail.com    | 12     | New York      |
| omkar     | rokde    | omkar.rakde@gmail.com    | B.Com  | Arkansas      |
| ulka      | joshi    | ulka.joshi@gmail.com     | 10     | Arizona       |
| ulka      | joshi    | ulka.joshi@gmail.com     | 12     | California    |
| ulka      | joshi    | ulka.joshi@gmail.com     | BE     | Florida       |
| rahul     | patil    | rahul.patil@gmail.com    | 10     | Idaho         |
| rahul     | patil    | rahul.patil@gmail.com    | 12     | New Hampshire |
| rahul     | patil    | rahul.patil@gmail.com    | M.Com. | Montana       |
| ruhan     | bagde    | ruhan.bagde@gmail.com    | 10     | Alabama       |
| ruhan     | bagde    | ruhan.bagde@gmail.com    | 12     | Michigan      |
| ruhan     | bagde    | ruhan.bagde@gmail.com    | M.Com. | Oklahoma      |
| lala      | prasad   | lala.prasad@gmail.com    | 10     | Mississippi   |
| lala      | prasad   | lala.prasad@gmail.com    | 12     | Alabama       |
| lala      | prasad   | lala.prasad@gmail.com    | BE     | Indiana       |
| sharmin   | bagde    | sharmin.bagde@gmail.com  | 10     | Ohio          |
| sharmin   | bagde    | sharmin.bagde@gmail.com  | 12     | Iowa          |
| sharmin   | bagde    | sharmin.bagde@gmail.com  | BE     | Kentucky      |
| vrushali  | bagde    | vrushali.bagde@gmail.com | 10     | Maryland      |
| vrushali  | bagde    | vrushali.bagde@gmail.com | 12     | Alabama       |
| vrushali  | bagde    | vrushali.bagde@gmail.com | M.Com. | Virginia      |
| vasant    | khande   | vasant.khande@gmail.com  | 10     | Maine         |
| vasant    | khande   | vasant.khande@gmail.com  | 12     | Vermont       |
| vasant    | khande   | vasant.khande@gmail.com  | BE     | Kansas        |
| nitish    | patil    | nitish.patil@gmail.com   | 10     | Texas         |
| nitish    | patil    | nitish.patil@gmail.com   | 12     | Oregon        |
| nitish    | patil    | nitish.patil@gmail.com   | M.Com. | New Mexico    |
| neel      | save     | neel.save@gmail.com      | 10     | Nevada        |
| neel      | save     | neel.save@gmail.com      | 12     | Indiana       |
| neel      | save     | neel.save@gmail.com      | M.Com. | Ohio          |
| deep      | save     | deep.save@gmail.com      | 10     | New Hampshire |
| deep      | save     | deep.save@gmail.com      | 12     | Montana       |
| deep      | save     | deep.save@gmail.com      | B.Com. | West Virginia |
| nrupali   | save     | nrupali.save@gmail.com   | 10     | Virginia      |
| nrupali   | save     | nrupali.save@gmail.com   | 12     | Maine         |
